,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
245,27837,274,47,27815,30865,295,68,29478,23,3,0,0,0,0,0,0,0,20,20,22,21,8,1,0,0,0,2,1,0,22,24,20,1620963318081,red,NA1_3905959859
246,30081,249,64,29799,23321,181,68,25329,23,3,0,0,0,1,0,0,0,25,25,13,19,4,1,0,0,0,0,0,0,13,8,25,1615870373323,blue,NA1_3827627779
247,28244,320,76,28976,27545,286,87,28181,25,3,0,0,1,0,0,0,0,15,14,14,30,1,0,0,0,1,0,0,0,14,15,15,1616017981884,red,NA1_3830119612
248,23928,321,81,28060,24770,320,90,30421,19,6,0,0,0,1,0,0,0,7,10,11,30,4,1,0,0,0,0,0,0,11,5,7,1617556399531,red,NA1_3853583342
249,25343,341,72,29863,25103,303,48,27457,28,5,0,0,0,1,0,0,0,10,7,10,24,6,0,0,0,0,1,0,0,10,14,10,1618715690121,blue,NA1_3871345719
250,28740,348,80,29753,27468,323,68,29850,12,2,0,0,1,0,0,1,0,18,14,12,18,1,0,0,0,1,1,0,0,12,17,18,1617243985544,red,NA1_3848788657
251,27013,314,71,27629,25147,365,68,28522,24,1,0,1,0,0,2,0,0,16,18,7,19,0,0,0,0,0,1,1,0,7,6,16,1617224919547,red,NA1_3848485796
252,29574,381,97,32084,23261,284,82,28248,27,3,0,1,0,1,2,1,0,14,15,8,19,4,0,0,0,0,0,0,0,8,12,14,1617477435456,blue,NA1_3852287985
253,22526,347,73,27225,26475,314,84,30575,16,4,0,0,1,0,0,0,0,7,4,13,19,3,0,0,0,1,1,0,0,13,15,7,1617675970135,red,NA1_3855492500
254,33397,336,59,31592,24843,304,101,27473,28,2,1,0,0,0,3,0,0,23,27,10,22,3,0,0,1,0,0,1,0,10,10,23,1617481413896,blue,NA1_3852366360
255,29387,319,65,29823,25112,274,45,27811,21,4,0,0,0,0,1,1,0,17,14,13,12,2,0,0,0,0,0,0,0,13,12,17,1616963123366,blue,NA1_3844596699
256,22368,253,80,27569,28503,329,100,32465,24,4,0,1,0,0,0,1,0,7,10,13,25,8,0,0,0,1,1,0,0,13,18,7,1616472881396,blue,NA1_3837612697
257,33282,363,93,33656,23374,271,100,25733,30,7,0,1,1,0,3,1,0,22,28,9,28,8,0,0,0,0,0,0,0,9,17,22,1620932986252,blue,NA1_3905235530
258,22465,310,61,25187,26869,349,66,30076,27,2,0,0,0,0,0,1,0,7,8,13,22,3,0,0,1,0,0,0,0,13,15,7,1620248158164,red,NA1_3895040780
259,21362,347,86,27320,27070,383,104,30972,24,2,0,0,0,0,0,0,0,2,1,9,21,4,0,0,1,1,1,1,0,9,9,2,1615914664004,red,NA1_3828225029
260,26845,331,76,30282,24219,335,112,28735,25,6,0,0,0,1,0,0,0,16,21,7,20,4,1,0,0,0,0,0,0,7,5,16,1615847948084,blue,NA1_3827161825
261,25853,332,73,27938,25179,305,80,27086,19,4,0,0,0,0,0,0,0,11,8,10,26,6,0,1,0,1,0,1,0,10,13,11,1616003798128,red,NA1_3829966073
262,27374,294,67,29995,23929,258,92,27177,20,2,0,1,0,0,2,0,0,15,10,11,16,2,0,0,1,0,0,0,0,11,12,15,1616354909601,blue,NA1_3835636029
263,21670,308,62,24198,29970,281,108,31309,23,4,0,0,0,0,0,0,0,5,5,21,16,5,0,1,0,1,1,1,0,21,19,5,1617939128728,red,NA1_3859323547
264,22156,257,58,25541,29780,274,87,31878,20,10,0,0,0,0,0,0,0,9,9,21,28,1,1,0,1,0,1,0,0,21,26,9,1615872578574,red,NA1_3827713077
265,26863,330,72,28288,30633,300,82,29567,22,7,1,0,0,0,0,0,0,10,16,21,27,5,0,1,0,0,0,1,0,21,24,10,1616001578917,blue,NA1_3829942736
266,26363,300,99,27524,25557,334,104,29543,30,6,0,0,0,0,1,1,0,9,12,10,21,3,1,0,0,1,1,0,0,10,2,9,1620935385096,red,NA1_3905269851
267,27184,285,86,28133,28522,332,92,30798,25,2,0,0,0,0,2,1,0,11,10,20,18,2,1,0,1,0,1,0,0,20,8,11,1617073381712,blue,NA1_3846311683
268,25628,313,76,27924,26508,339,84,29573,22,2,0,0,1,0,1,1,0,10,10,12,14,9,0,1,0,0,0,0,0,12,10,10,1617678340635,red,NA1_3855508938
269,27040,326,56,28136,26729,310,104,28969,17,4,0,1,0,1,0,0,0,15,19,10,25,3,0,0,0,0,2,1,0,10,8,15,1616206727502,blue,NA1_3833145192
270,24352,301,76,27388,22317,319,56,27458,24,4,0,0,1,0,0,0,0,10,14,7,16,7,0,0,0,0,0,0,0,7,6,10,1616183391486,blue,NA1_3832794970
271,20443,273,72,23576,30374,351,68,31724,21,2,0,0,0,0,1,1,0,3,3,18,27,3,0,0,1,1,3,0,0,18,23,3,1618278076206,red,NA1_3864296130
272,22405,261,72,25236,27400,358,74,30651,22,3,0,1,0,0,0,0,0,10,12,15,21,5,0,0,1,0,0,0,0,15,11,10,1617313888231,red,NA1_3849641075
273,34334,307,75,30111,23896,238,68,24980,22,2,0,0,1,0,4,1,0,25,30,10,19,2,1,0,0,0,0,0,0,10,21,25,1620521280870,blue,NA1_3899224993
274,27170,340,84,29931,23537,342,72,28652,27,10,0,1,0,1,1,1,0,12,21,8,26,6,0,0,0,0,0,0,0,8,8,12,1618108528038,blue,NA1_3861804558
275,22944,352,93,29111,27826,384,96,31890,18,6,0,0,0,0,0,0,0,4,5,12,26,3,0,0,0,1,1,1,0,12,8,4,1617558282795,red,NA1_3853595182
276,20048,217,72,22771,29076,327,92,31738,15,3,0,0,0,0,0,0,0,5,8,18,23,4,1,0,0,1,0,0,0,18,25,5,1616305574485,red,NA1_3835069960
277,23847,385,72,27547,24958,367,100,29515,29,5,1,0,0,0,1,0,0,4,2,7,24,5,0,0,1,0,0,0,0,7,6,4,1621194834494,blue,NA1_3909084260
278,27175,354,84,30408,28587,324,87,29643,26,3,1,0,1,0,0,0,0,11,11,16,29,4,0,0,0,0,1,1,0,16,19,11,1617656569555,red,NA1_3855096871
279,26880,329,88,32233,25349,303,68,28148,28,2,1,0,0,0,0,0,0,15,14,9,20,4,0,0,0,0,1,0,0,9,12,15,1616545506949,blue,NA1_3838639504
280,22912,320,56,26549,25163,318,94,27569,21,7,0,0,0,0,0,0,0,8,13,7,29,7,0,1,0,1,1,1,0,7,7,8,1617235796786,red,NA1_3848577690
281,23088,290,72,28535,25431,312,84,29816,24,8,0,0,0,0,0,0,0,10,10,13,23,6,1,0,0,0,0,0,0,13,11,10,1618282470965,red,NA1_3864424377
282,26898,279,88,27817,28166,342,80,30026,31,8,0,1,0,0,0,1,0,14,17,16,26,13,1,0,0,0,1,0,0,16,15,14,1617643567018,red,NA1_3854874922
283,30049,293,78,28848,22089,211,55,23761,25,3,1,0,1,0,3,1,0,19,15,9,24,5,0,0,0,0,0,0,0,9,14,19,1620155111124,blue,NA1_3893494790
284,29157,338,70,30137,24516,261,69,28054,18,1,0,0,0,0,0,1,0,18,16,13,23,1,1,0,0,0,0,0,0,13,14,18,1617484155099,red,NA1_3852399661
285,27136,308,72,27940,26866,340,80,27715,29,9,1,0,0,0,0,0,0,15,20,14,32,8,0,0,0,0,0,0,0,14,16,15,1615843552618,blue,NA1_3827044714
286,25050,294,98,28175,27790,333,74,28861,27,7,1,0,0,1,0,0,0,12,14,12,28,7,0,0,0,0,2,1,0,12,18,12,1616014134808,blue,NA1_3830113194
287,26340,354,97,28359,29018,364,84,30309,32,5,1,0,0,0,1,1,0,6,7,11,24,7,0,1,0,0,1,0,0,11,14,6,1615917330131,red,NA1_3828219344
288,25824,308,86,28420,26046,297,72,28938,25,2,0,0,0,0,0,1,0,13,12,14,26,4,1,1,0,0,0,0,0,14,15,13,1615670648686,red,NA1_3824143510
289,24574,246,67,23461,32122,320,84,32022,23,6,1,0,0,0,0,0,0,13,13,25,24,6,0,0,0,0,2,1,0,25,24,13,1620519325799,red,NA1_3899182010
290,27175,329,64,29584,24275,324,92,28962,19,5,0,0,0,0,1,0,0,13,10,9,21,7,0,1,0,0,0,0,0,9,7,13,1618280237282,blue,NA1_3864389938
291,22525,320,76,26949,28897,371,96,31027,22,2,0,0,0,0,1,1,0,4,6,15,23,7,1,1,0,0,1,0,0,15,22,4,1617222443998,red,NA1_3848463003
292,34307,293,97,32961,23456,230,43,23592,27,5,1,0,0,0,2,1,0,27,28,12,20,4,0,0,0,0,0,0,0,12,17,27,1618885246403,blue,NA1_3873769457
293,28134,309,84,29248,25424,306,79,30235,20,3,0,0,0,1,0,1,0,16,19,13,22,6,0,1,0,0,1,0,0,13,9,16,1616352454780,blue,NA1_3835592997
294,26002,255,88,28257,31008,323,76,30115,26,4,1,0,0,0,1,0,0,13,13,19,28,7,0,0,0,1,3,1,0,19,16,13,1616961269790,red,NA1_3844562930
295,19668,294,67,25300,28475,334,104,31125,22,4,0,1,0,0,0,0,0,3,2,11,23,3,1,0,0,0,2,1,0,11,17,3,1621191931757,red,NA1_3909051362
296,22551,273,76,25176,25431,324,83,30793,21,2,0,1,0,0,0,1,0,8,7,14,16,1,1,0,0,0,0,0,0,14,6,8,1617413564033,red,NA1_3851395061
297,24949,318,66,25298,26319,297,84,26844,26,6,0,0,0,0,1,1,0,9,8,12,26,9,1,0,1,0,1,0,0,12,14,9,1615840321571,blue,NA1_3827010443
298,26674,362,57,30289,22574,323,71,25932,21,7,0,1,0,0,1,0,0,13,14,5,24,4,0,0,0,0,0,1,0,5,6,13,1618088111868,blue,NA1_3861419817
299,26588,358,90,30122,26310,360,95,29616,20,6,0,0,1,0,0,1,0,10,11,9,22,5,1,0,0,0,1,0,0,9,11,10,1614994154180,blue,NA1_3813261985
300,28369,374,112,30274,21459,319,76,25783,26,3,0,1,0,1,1,0,0,12,16,3,18,5,0,0,0,0,0,1,0,3,2,12,1613875689173,blue,NA1_3796541921
301,26493,375,93,30049,22842,325,58,27398,25,3,0,0,1,0,0,0,0,11,15,6,20,9,1,0,0,0,0,0,0,6,6,11,1615423795415,blue,NA1_3819843099
302,19741,304,87,24758,25475,345,112,30248,22,3,0,0,0,0,0,0,0,1,2,8,24,5,0,1,0,0,0,1,0,8,7,1,1614973725112,red,NA1_3812982809
303,25346,252,59,28731,27447,328,67,28050,17,10,0,0,0,0,0,0,0,14,14,13,29,3,0,1,0,0,1,0,0,13,16,14,1615570668111,red,NA1_3822287992
304,24636,277,77,28959,24454,343,75,27354,24,7,0,0,0,1,0,0,0,12,13,9,23,7,0,1,0,0,0,0,0,9,8,12,1615268165954,red,NA1_3817616165
305,27453,384,84,31008,23076,350,84,28228,12,10,1,1,0,0,1,0,0,12,10,4,30,1,0,0,0,0,1,1,0,4,3,12,1615234459995,blue,NA1_3817015532
306,22867,326,98,25882,23489,335,92,27445,22,4,0,0,0,1,0,0,0,4,7,6,23,5,1,0,0,0,0,0,0,6,13,4,1614357520850,blue,NA1_3803904343
307,25150,345,92,29160,27532,340,76,30108,23,11,0,0,0,1,0,1,0,9,6,13,24,7,0,1,0,0,0,0,0,13,19,9,1613437480564,blue,NA1_3789645541
308,28049,340,91,30856,23830,328,91,28219,26,6,1,0,0,0,1,0,0,14,13,7,23,6,0,1,0,0,0,1,0,7,5,14,1615046566057,blue,NA1_3813957879
309,23224,351,73,28613,26461,340,85,30633,22,6,0,0,0,0,0,1,0,6,6,12,23,8,1,0,0,1,1,0,0,12,11,6,1615567997446,red,NA1_3822264937
310,27883,393,79,30494,23598,330,73,27980,26,6,1,0,1,0,1,1,0,12,14,8,24,8,0,0,0,0,0,0,0,8,11,12,1615421746958,blue,NA1_3819819791
311,24112,289,96,26594,26364,297,74,26836,21,2,0,0,1,0,0,1,0,12,17,9,20,3,0,1,0,0,1,0,0,9,10,12,1613513604801,red,NA1_3790654788
312,28929,324,60,27490,23828,310,87,25732,31,2,0,1,0,1,2,0,0,20,20,10,23,6,0,0,0,0,0,0,0,10,13,20,1614360117420,blue,NA1_3803918872
313,33282,325,112,32483,25107,324,68,27575,31,8,0,1,1,0,2,0,0,24,25,8,23,6,0,0,0,0,0,1,0,8,10,24,1615662870881,blue,NA1_3823979689
314,31408,369,114,31191,21723,260,68,23573,26,6,1,0,0,0,2,1,0,19,21,8,23,3,0,0,0,0,0,0,0,8,9,19,1615494504915,blue,NA1_3821169947
315,26309,311,53,30750,24272,338,98,30039,28,8,1,0,0,0,0,0,0,14,25,8,26,7,0,0,1,0,0,1,0,8,6,14,1615436166836,red,NA1_3820112169
316,25586,324,76,27668,25170,288,92,27814,28,5,0,0,0,1,0,0,0,11,19,11,22,3,0,1,0,0,1,1,0,11,9,11,1613596493397,blue,NA1_3792018808
317,28116,267,72,26334,29817,273,84,30970,18,2,0,0,0,0,2,1,0,14,17,22,22,7,0,0,1,0,1,0,0,22,30,14,1614573576831,red,NA1_3807157635
318,28735,317,104,29821,26435,323,83,28967,22,3,0,1,0,0,1,0,0,13,16,13,22,4,1,0,0,0,1,1,0,13,14,13,1615055287193,blue,NA1_3814019563
319,26393,308,97,29139,28563,392,85,29901,28,3,0,1,0,0,0,1,0,9,12,10,24,5,1,0,0,0,2,0,0,10,12,9,1614965157761,red,NA1_3812839590
320,25408,333,93,29971,23967,329,92,30879,23,3,0,0,0,0,0,1,0,11,9,7,24,6,1,1,0,0,0,0,0,7,6,11,1613878377615,blue,NA1_3796558788
321,24137,315,88,26521,27242,322,81,30664,31,6,1,0,0,0,1,1,0,6,7,15,23,6,0,0,1,0,1,0,0,15,15,6,1615137553676,red,NA1_3815483280
322,20412,332,102,25932,24385,349,67,30062,25,4,1,0,0,1,0,0,0,0,0,11,25,5,0,0,0,0,0,0,0,11,9,0,1614483718648,red,NA1_3805884621
