blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
26461,271,89,28330,27342,302,80,28740,17,3,0,0,0,0,1,1,0,11,11,15,15,2,1,1,0,0,1,0,0,15,14,11,1621467157443,blue,NA1_3913045612
23671,356,72,27446,26706,341,102,31249,25,2,0,0,0,0,1,1,0,6,4,12,21,2,0,0,1,1,0,0,0,12,13,6,1620951965346,red,NA1_3905489824
25342,372,98,29197,25821,313,110,28323,27,6,0,0,0,0,0,1,0,7,3,8,27,7,0,1,1,0,1,0,0,8,11,7,1620864335994,blue,NA1_3904393184
26484,298,62,30672,31047,314,63,30258,24,7,0,0,0,1,0,0,0,16,17,16,22,6,0,0,0,0,1,1,0,16,17,16,1621488309750,red,NA1_3913442195
27526,289,77,29369,31063,294,54,31847,17,3,0,0,0,0,0,0,0,17,13,22,20,4,0,0,1,0,1,1,0,22,27,17,1621055010830,red,NA1_3907105293
25759,287,76,29552,26401,310,91,28621,27,4,0,0,0,0,0,1,0,14,12,13,28,5,1,0,1,0,1,0,0,13,12,14,1620540628253,blue,NA1_3899620674
26348,308,60,28754,23687,277,83,27596,24,7,0,0,1,0,0,0,0,15,16,9,22,3,0,0,0,0,0,0,0,9,11,15,1620444140096,red,NA1_3897916588
25011,316,112,29843,23729,302,92,28909,24,10,0,1,1,0,2,1,0,5,5,7,27,3,0,0,0,0,0,0,0,7,7,5,1621129004319,blue,NA1_3908289777
27035,320,79,28977,25511,286,88,27484,21,3,1,0,0,0,0,1,0,13,17,13,21,7,0,0,0,1,0,0,0,13,15,13,1621218224470,red,NA1_3909397069
23770,281,68,27452,32579,355,76,33436,21,4,0,0,1,1,0,0,0,11,10,20,25,6,0,0,0,0,2,0,0,20,25,11,1620961761643,red,NA1_3905779053
27645,259,88,28700,27846,297,60,29429,18,9,0,0,1,0,1,0,0,15,16,21,26,4,0,0,0,0,0,0,0,21,24,15,1621125582643,blue,NA1_3908201341
26793,345,99,31834,27788,302,88,31744,22,3,0,0,1,0,1,0,0,13,10,14,23,7,0,0,0,0,0,0,0,14,12,13,1619483614108,red,NA1_3882402277
27216,375,127,31537,23038,333,84,28201,29,5,0,0,1,0,2,1,0,7,12,5,20,5,0,1,0,0,0,0,0,5,6,7,1620421718970,blue,NA1_3897573518
