blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
24530,286,99,31378,25278,352,85,28012,18,2,0,0,1,1,0,1,0,12,19,5,23,0,0,0,0,0,1,0,0,5,3,12,1617847772040,blue,NA1_3857923634
22454,321,72,27864,25819,357,94,30117,24,4,1,0,0,0,0,0,0,5,3,9,23,3,0,0,1,0,1,1,0,9,13,5,1616791356378,red,NA1_3841956288
22771,295,60,25919,30207,348,80,30701,17,7,0,1,0,0,0,0,0,8,9,16,24,5,0,0,0,0,3,1,0,16,17,8,1617174169514,red,NA1_3847657925
26345,312,94,29634,29158,337,66,29039,24,9,0,1,1,0,0,0,0,13,14,16,25,4,0,0,0,0,1,1,0,16,16,13,1615834620323,red,NA1_3826829677
27726,341,80,30556,23359,334,92,27675,19,7,0,0,1,0,0,0,0,14,20,8,20,5,0,0,0,1,0,1,0,8,7,14,1615838912223,blue,NA1_3826936705
24014,285,66,26491,33013,325,90,32215,27,4,0,0,0,0,0,0,0,9,10,22,23,7,0,1,1,0,4,1,0,22,23,9,1615950916552,red,NA1_3828922890
32473,340,111,33712,27220,320,60,27865,25,3,1,1,0,0,1,0,0,24,27,15,15,4,0,0,0,0,0,1,0,15,17,24,1616734837119,blue,NA1_3841318565
27849,371,83,29269,24073,308,106,29355,27,8,1,0,0,0,1,1,0,11,13,7,29,7,0,0,0,1,0,0,0,7,7,11,1616182868126,blue,NA1_3832843211
25920,316,80,28218,25210,353,88,28273,29,7,0,0,0,0,1,0,0,11,15,10,31,3,1,0,1,0,0,1,0,10,13,11,1615781370513,blue,NA1_3826191748
28557,286,66,27409,26039,310,77,29200,27,7,1,0,0,0,1,1,0,15,21,16,21,5,0,0,1,0,0,0,0,16,13,15,1616921565463,red,NA1_3844213827
22551,327,94,26033,29252,374,96,32780,17,10,0,0,1,0,0,0,0,5,5,14,29,6,0,1,0,0,0,1,0,14,11,5,1616456688852,red,NA1_3837380267
23327,276,80,28321,20977,296,52,25562,26,6,0,0,0,1,0,0,0,9,14,5,24,2,0,1,0,0,0,1,0,5,6,9,1618452824435,red,NA1_3866996542
24715,333,64,25798,29586,342,88,30565,23,10,0,0,0,0,0,0,0,12,13,18,29,4,1,0,0,1,1,0,0,18,22,12,1615784295584,blue,NA1_3826280307
26942,336,100,31492,26625,360,88,31371,24,6,0,0,1,1,1,0,0,11,10,12,25,3,0,0,0,0,1,1,0,12,8,11,1615864301250,red,NA1_3827515482
28336,249,65,28340,22902,204,79,25310,30,6,0,0,0,0,1,1,0,20,15,11,26,5,1,1,0,0,0,0,0,11,13,20,1617607162468,blue,NA1_3854563246
