blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25717,331,91,29053,27118,352,78,29934,20,4,0,0,0,0,1,1,0,9,8,13,21,3,0,0,0,1,0,0,0,13,9,9,1614339065009,red,NA1_3803737601
20252,302,52,23800,33849,347,131,34503,12,1,0,0,0,0,0,0,0,5,5,21,21,2,0,0,1,1,5,1,0,21,21,5,1614421059944,red,NA1_3804887151
25091,254,57,27425,27655,346,60,28564,17,3,0,0,0,0,0,0,0,15,21,12,21,2,0,0,0,1,2,0,0,12,7,15,1614153557670,red,NA1_3800864318
29185,366,114,30803,24444,305,72,29059,26,3,1,1,0,0,1,1,0,11,10,10,24,4,0,0,0,0,0,0,0,10,10,11,1614637485152,blue,NA1_3807954309
25070,338,83,27932,28377,314,84,31072,23,2,0,0,0,0,0,1,0,9,11,16,20,5,1,0,0,1,1,0,0,16,22,9,1614587413999,red,NA1_3807422518
23027,320,79,28231,26237,369,108,31945,21,3,0,0,0,0,0,0,0,6,6,12,23,7,1,0,0,1,0,0,0,12,9,6,1614592423145,red,NA1_3807488478
24655,309,54,26802,30052,318,88,32724,22,3,0,0,0,0,1,0,0,10,10,20,24,5,0,0,1,0,2,1,0,20,20,10,1614395577060,red,NA1_3804469961
27009,363,95,30843,25680,337,90,29861,18,5,0,1,0,1,2,1,0,8,8,9,24,5,0,0,0,0,1,0,0,9,8,8,1614046270252,blue,NA1_3799049662
28326,365,76,31199,26088,322,64,28139,22,7,0,0,0,0,1,0,0,13,11,14,21,3,1,0,0,0,0,0,0,14,13,13,1614418803668,red,NA1_3804852874
26915,276,60,27793,25341,292,74,26572,21,4,0,1,0,0,0,0,0,17,26,14,22,5,0,0,0,0,0,0,0,14,13,17,1613984926458,blue,NA1_3798428120
28437,322,108,31508,22950,314,56,26959,27,4,1,1,0,0,1,1,0,14,14,10,18,3,0,0,0,0,0,0,0,10,7,14,1614231749671,red,NA1_3802111456
24047,290,68,28046,24658,316,96,27147,23,7,0,0,0,0,0,0,0,11,15,8,32,2,0,1,1,0,1,1,0,8,8,11,1614393860821,blue,NA1_3804344780
21750,345,62,26970,27619,392,78,31460,23,2,0,0,0,0,0,1,0,4,3,12,26,3,1,1,0,0,2,0,0,12,5,4,1613868377076,red,NA1_3796393560
