blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
25471,337,76,28193,25087,346,83,28233,27,5,0,1,0,0,1,1,0,7,11,7,24,6,0,0,0,1,0,0,0,7,7,7,1622908487570,blue,NA1_3933244505
28015,272,100,29367,24239,292,94,28001,21,7,0,0,0,0,3,1,0,9,11,12,27,2,1,0,1,0,0,0,0,12,8,9,1626734336576,blue,NA1_3982502440
26970,359,78,30500,24330,306,84,26605,24,9,1,1,0,0,0,1,0,14,15,7,35,8,0,0,0,0,0,0,0,7,8,14,1621551457188,blue,NA1_3914058062
22809,262,72,24846,28324,341,72,29926,24,4,0,0,0,0,1,0,0,7,7,16,21,10,0,0,1,0,1,0,0,16,21,7,1627224842686,red,NA1_3989102097
24294,270,82,27825,27930,267,84,29752,20,4,0,0,0,1,0,0,0,12,10,14,27,4,0,0,0,0,0,0,0,14,18,12,1620951563437,blue,NA1_3905419231
34931,390,107,36328,20635,289,56,24990,17,3,1,0,1,0,4,1,0,25,21,3,23,4,0,0,0,0,0,0,0,3,2,25,1621552837481,blue,NA1_3914103059
26726,341,73,28186,26352,295,97,27688,28,9,0,0,0,1,0,0,0,13,16,11,31,9,0,0,0,0,1,1,0,11,19,13,1621988202239,blue,NA1_3920159696
25152,322,86,27886,25674,341,73,30496,27,3,0,1,0,0,0,0,0,12,12,12,25,5,1,0,0,0,0,0,0,12,11,12,1626628914127,blue,NA1_3981055130
24401,343,104,30297,23629,372,100,27934,23,5,1,0,1,0,0,0,0,8,9,5,23,3,0,0,0,0,0,1,0,5,0,8,1626312088882,blue,NA1_3977360603
24854,344,80,30537,26298,335,76,30405,21,5,0,0,0,0,0,0,0,9,7,13,21,5,1,0,1,0,0,0,0,13,11,9,1620781816399,red,NA1_3902748050
29750,310,80,32435,23035,334,85,27431,30,6,0,1,0,1,2,0,0,18,17,7,21,7,0,0,0,0,0,0,0,7,2,18,1620777473006,blue,NA1_3902689715
31733,332,68,31348,25874,267,51,24194,22,3,0,0,0,0,2,0,0,21,24,14,22,2,1,0,0,0,0,1,0,14,21,21,1620694847205,blue,NA1_3901734694
23098,301,50,24883,34316,372,114,31874,17,3,0,0,1,0,0,0,0,8,10,21,27,2,0,1,0,0,4,1,0,21,26,8,1626817837206,red,NA1_3983453812
23009,300,56,25334,29946,293,103,31368,17,3,0,0,0,0,0,0,0,9,7,20,24,4,0,0,0,1,1,1,0,20,24,9,1624728362438,red,NA1_3957223216
22862,307,60,26642,27918,350,135,32160,23,5,0,0,0,0,0,0,0,7,9,12,21,9,1,1,0,0,1,0,0,12,9,7,1622387661764,blue,NA1_3926043126
24705,302,80,29365,28060,337,88,29630,21,9,0,1,0,0,0,0,0,10,10,15,23,8,0,0,0,1,1,1,0,15,10,10,1622991395052,blue,NA1_3934258357
30265,344,84,32439,22614,295,88,25240,25,6,0,0,1,1,3,1,0,18,12,3,25,3,0,0,0,0,1,0,0,3,3,18,1626392501435,blue,NA1_3978170664
23661,275,71,28720,27572,310,88,30179,31,5,0,0,0,0,0,0,0,11,11,15,25,9,0,1,0,0,1,0,0,15,17,11,1620690770124,red,NA1_3901654087
26024,290,82,28993,26788,308,60,29810,25,7,0,0,0,0,0,1,0,13,9,15,30,5,0,1,1,0,0,0,0,15,18,13,1622308499064,red,NA1_3924757112
24497,298,63,27394,26358,357,96,29111,30,5,1,1,0,0,1,0,0,7,9,11,22,5,0,0,0,0,1,1,0,11,11,7,1621993786166,red,NA1_3920311087
25226,295,76,27375,27673,313,96,30339,25,5,0,0,0,1,0,0,0,8,12,15,22,5,0,0,1,0,1,1,0,15,14,8,1622992800540,red,NA1_3934292224
25967,306,91,27451,29544,326,68,29431,19,4,0,0,0,1,1,0,0,6,10,20,28,3,0,1,0,0,1,1,0,20,27,6,1622913952778,blue,NA1_3933341199
22485,299,71,28697,27660,407,103,32162,19,1,0,0,0,0,0,1,0,4,3,10,18,5,0,1,1,0,0,0,0,10,9,4,1626132689444,red,NA1_3974999166
24014,326,78,27273,27252,336,76,31253,20,6,0,0,1,0,0,1,0,8,8,15,26,6,0,0,0,1,1,0,0,15,13,8,1621373996170,blue,NA1_3911548268
27694,357,99,30599,23569,313,65,28667,27,7,0,0,1,0,3,1,0,8,4,9,20,3,0,0,0,1,0,0,0,9,10,8,1622079141321,blue,NA1_3921586180
28732,342,88,31930,23421,297,68,27690,25,5,1,0,0,0,1,1,0,15,17,8,22,4,0,0,0,1,0,0,0,8,13,15,1623523234399,blue,NA1_3941490038
