,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
136,26161,328,72,28442,31831,360,92,30933,30,7,0,0,1,0,1,0,0,12,10,18,26,8,0,0,0,0,0,1,0,18,17,12,1627883539482,red,NA1_3997746268
137,29138,333,83,29637,30663,342,88,30384,21,8,0,0,0,0,0,0,0,17,19,19,22,6,0,1,0,0,2,1,0,19,27,17,1630863622017,red,NA1_4033332661
138,24122,322,72,28209,30515,344,108,32522,28,4,1,0,0,0,0,0,0,10,10,18,23,7,0,0,0,1,2,1,0,18,14,10,1629421663951,red,NA1_4016536057
139,32292,361,97,34851,22962,309,82,26727,19,4,0,1,0,0,2,1,0,23,26,6,22,3,1,0,0,0,0,0,0,6,2,23,1626151997826,blue,NA1_3975350345
140,29590,267,80,27908,26537,286,97,28493,22,6,0,0,1,0,1,1,0,22,18,15,24,4,0,1,0,0,0,0,0,15,18,22,1631741417547,blue,NA1_4043278485
141,24427,304,90,29516,23016,294,78,27059,25,7,0,0,0,0,0,1,0,9,10,4,20,0,0,0,1,1,1,0,0,4,4,9,1630909312601,red,NA1_4033935302
142,26203,317,68,29766,26616,300,81,29004,29,5,0,0,0,1,0,0,0,13,14,14,29,8,0,1,0,0,0,1,0,14,15,13,1631855748354,red,NA1_4044449173
143,26738,315,63,30117,23501,308,67,26446,26,8,0,0,0,1,0,0,0,16,19,8,27,5,0,0,0,0,0,0,0,8,5,16,1628219480041,red,NA1_4001770886
144,26337,336,81,28388,24231,350,83,29516,25,6,0,0,1,0,2,1,0,8,7,8,26,8,1,0,0,0,0,0,0,8,10,8,1630303881506,blue,NA1_4027255565
145,25325,301,83,28727,23199,362,85,27725,28,5,0,0,0,1,1,1,0,9,5,6,27,12,0,1,0,0,0,0,0,6,5,9,1629336196816,blue,NA1_4015438471
146,29641,355,104,30720,25643,324,56,28067,20,4,0,1,0,1,1,1,0,14,14,13,21,5,0,0,0,0,0,0,0,13,21,14,1632457789377,red,NA1_4051022320
147,24332,372,92,29804,23803,405,75,28665,22,6,0,0,0,0,0,0,0,7,7,5,24,5,0,0,1,0,0,1,0,5,5,7,1628654739861,blue,NA1_4007102514
148,29289,322,59,27440,24821,282,84,26649,29,5,1,0,0,0,1,0,0,14,15,8,24,6,0,0,1,0,0,1,0,8,11,14,1631483848039,blue,NA1_4040592477
149,24077,288,56,26165,27193,297,80,28217,32,6,0,0,0,0,0,0,0,10,11,11,20,10,1,0,0,1,1,1,0,11,10,10,1630911310605,red,NA1_4033988304
150,23909,353,80,28796,26918,308,84,27684,22,11,0,0,0,1,0,0,0,7,6,12,27,5,1,0,0,0,1,1,0,12,12,7,1629006960036,red,NA1_4011466822
151,23054,315,68,29208,24198,367,96,30058,20,6,0,0,0,1,0,1,0,10,7,6,19,7,1,0,0,0,0,0,0,6,3,10,1628959119318,blue,NA1_4010824474
152,23307,342,87,28533,28690,363,88,31718,20,3,0,1,0,1,0,0,0,7,7,10,17,5,0,0,0,0,1,1,0,10,7,7,1629334670403,red,NA1_4015394756
153,28455,289,107,32187,24254,341,92,28143,24,11,0,0,0,0,0,0,0,17,22,7,30,8,0,1,1,0,0,1,0,7,5,17,1628221006062,blue,NA1_4001758430
154,26261,316,76,29632,23510,321,76,26571,18,8,0,0,1,1,1,1,0,11,16,8,27,3,0,0,0,0,0,0,0,8,9,11,1631432461396,red,NA1_4040191849
155,26040,354,77,27919,28790,303,95,29848,15,7,0,1,1,0,1,0,0,10,14,12,31,5,0,0,0,0,2,1,0,12,24,10,1627356891467,blue,NA1_3990838754
156,26331,321,76,27051,27079,283,84,28592,19,3,0,0,0,0,0,0,0,13,17,15,21,6,0,0,1,0,0,0,0,15,16,13,1630541641822,red,NA1_4029562103
157,26380,329,77,28055,27770,320,92,31437,29,4,0,0,0,1,0,0,0,12,18,16,19,9,0,0,0,0,0,1,0,16,17,12,1629314163241,red,NA1_4015100621
158,25177,306,76,26933,25310,307,84,27157,25,1,0,0,0,0,1,0,0,10,11,10,25,5,1,0,1,0,0,0,0,10,16,10,1631939339480,blue,NA1_4045483029
159,24869,308,75,25898,33403,321,60,30080,28,6,0,0,0,0,0,0,0,10,6,24,23,7,0,0,0,1,4,1,0,24,32,10,1628574854859,red,NA1_4006284339
160,27854,384,104,31931,23481,329,96,30507,29,5,0,0,1,1,0,0,0,11,11,8,18,3,0,0,0,0,0,1,0,8,3,11,1630167957718,red,NA1_4025489428
161,26471,310,88,25252,30988,323,87,30174,28,4,0,0,0,0,1,0,0,9,10,18,30,8,1,0,0,0,2,0,0,18,25,9,1631735338629,red,NA1_4043251512
162,29331,335,72,31832,24732,260,80,26433,24,4,0,0,0,0,0,0,0,16,12,12,20,3,0,1,1,0,0,0,0,12,15,16,1626415996935,blue,NA1_3978825692
