,blue_gold,blue_cs,blue_jg,blue_xp,red_gold,red_cs,red_jg,red_xp,blue_wards_placed,blue_wards_destroyed,blue_air_dragons,blue_fire_dragons,blue_earth_dragons,blue_water_dragons,blue_turrets_destroyed,blue_rift_heralds,blue_inhibitors_destroyed,blue_kills,blue_assists,blue_deaths,red_wards_placed,red_wards_destroyed,red_air_dragons,red_fire_dragons,red_earth_dragons,red_water_dragons,red_turrets_destroyed,red_rift_heralds,red_inhibitors_destroyed,red_kills,red_assists,red_deaths,unix_date,winner,match_id
319,32692,349,107,32211,21452,293,80,25595,24,12,0,1,0,0,0,1,0,23,32,4,26,5,0,0,0,0,0,0,0,4,5,23,1616515168990,blue,NA1_3838160859
320,26436,294,64,25034,25330,225,91,27102,17,6,0,0,1,0,1,0,0,11,20,17,28,4,0,1,0,0,0,0,0,17,22,11,1614578714372,red,NA1_3807333204
321,27426,293,96,28242,24344,300,73,28210,29,9,0,1,0,0,1,0,0,14,18,10,30,11,0,0,0,1,0,1,0,10,11,14,1616267769328,blue,NA1_3834343468
322,27938,240,64,26287,30283,284,74,30067,22,2,0,0,0,1,0,0,0,19,29,20,27,2,0,0,0,0,1,0,0,20,12,19,1615609283681,red,NA1_3823111492
323,28066,277,58,26913,28786,284,64,27295,30,8,0,0,0,0,0,0,0,19,26,19,27,8,0,1,0,0,1,0,0,19,26,19,1614491598993,red,NA1_3806066889
324,30135,355,100,33104,21043,276,85,25122,25,2,0,0,1,1,0,1,0,20,24,4,22,5,0,0,0,0,0,0,0,4,2,20,1614303779471,blue,NA1_3802924558
325,26008,315,96,29336,23430,330,70,27266,27,4,1,0,1,0,1,1,0,11,11,9,22,3,0,0,0,0,0,0,0,9,15,11,1616204927491,blue,NA1_3833119646
326,28335,323,61,31119,27383,358,77,29717,23,4,0,0,0,0,1,1,0,17,17,14,21,3,0,1,0,1,0,0,0,14,15,17,1613755814592,red,NA1_3794522647
327,26744,283,93,27636,25287,311,81,28643,21,3,0,0,1,0,1,1,0,14,16,11,21,2,1,0,0,0,0,0,0,11,12,14,1614883592128,blue,NA1_3811507673
328,33001,364,100,32610,19055,237,37,22049,28,5,0,1,0,0,2,1,0,20,18,4,23,5,0,0,0,0,0,0,0,4,3,20,1615178968970,blue,NA1_3816193872
329,26636,310,80,27589,22601,268,80,24003,26,7,0,0,0,1,1,0,0,14,16,6,28,3,0,0,0,0,0,1,0,6,7,14,1616050812701,blue,NA1_3830748021
330,20336,241,60,23816,27767,279,84,30108,27,1,0,0,0,1,0,0,0,4,9,19,18,5,0,1,0,0,1,1,0,19,19,4,1616044416485,red,NA1_3830621331
331,27717,319,91,31584,22365,307,76,26075,31,8,1,0,0,0,2,1,0,13,16,5,24,6,0,0,0,1,0,0,0,5,7,13,1613857124984,blue,NA1_3796176165
332,30549,319,103,32423,21898,233,52,25642,20,7,0,1,1,0,1,1,0,22,24,8,21,6,0,0,0,0,0,0,0,8,13,22,1614575917413,blue,NA1_3807236392
333,23850,309,49,25623,26241,334,110,29063,24,10,0,0,0,0,0,0,0,11,16,12,30,6,0,0,1,1,0,1,0,12,14,11,1615568521262,red,NA1_3822284237
334,32393,349,100,33038,23339,209,56,25583,17,3,0,0,0,0,2,0,0,25,18,13,23,0,0,0,0,1,0,0,0,13,12,25,1616215787378,blue,NA1_3833343162
335,25555,268,80,26194,28275,301,72,29394,25,6,0,0,0,0,0,1,0,13,6,15,22,2,0,1,1,0,2,0,0,15,19,13,1616212284055,red,NA1_3833294833
336,23601,374,84,26664,24184,356,82,27350,27,7,1,0,0,0,2,1,0,0,0,7,27,8,0,0,1,0,0,0,0,7,14,0,1615501870353,blue,NA1_3821270360
337,23766,269,60,29572,28986,312,84,30353,20,1,0,0,0,0,0,0,0,12,9,16,20,3,0,1,0,1,1,1,0,16,17,12,1615868615113,red,NA1_3827662195
338,29835,333,107,30861,26099,307,71,28543,28,1,0,1,1,0,2,1,0,13,13,14,25,7,0,0,0,0,0,0,0,14,21,13,1613598855102,blue,NA1_3792092786
339,30093,348,76,33158,22127,287,92,26855,20,3,0,1,0,0,2,1,0,18,14,6,19,4,0,0,1,0,0,0,0,6,6,18,1616015685590,blue,NA1_3830097188
340,22923,317,72,26185,28555,339,67,30370,19,3,1,0,0,0,0,0,0,8,13,18,24,4,0,0,0,0,0,0,0,18,28,8,1615919922370,blue,NA1_3828312485
341,21872,334,73,25918,32517,386,97,33411,25,4,0,0,0,0,0,0,0,4,3,20,27,5,1,0,1,0,2,1,0,20,20,4,1615155877142,red,NA1_3815717104
342,27994,304,88,30345,21283,293,53,24449,26,6,0,0,1,0,0,0,0,15,16,8,28,3,0,0,0,1,0,0,0,8,7,15,1616362844914,blue,NA1_3835752085
343,24695,283,56,26722,26488,286,72,27141,27,5,0,0,1,0,0,0,0,14,17,13,29,5,0,0,0,0,1,1,0,13,11,14,1614644344987,red,NA1_3808158817
344,27705,249,104,29639,25944,323,84,28190,28,3,0,0,1,1,1,1,0,16,15,10,25,4,0,0,0,0,0,0,0,10,7,16,1616517181640,blue,NA1_3838162527
345,28488,357,82,31350,24116,295,75,26780,25,4,0,0,1,0,1,1,0,15,11,7,21,7,0,1,0,0,1,0,0,7,8,15,1615954811248,blue,NA1_3828985268
346,25017,280,70,28464,22650,225,73,25696,24,1,0,1,0,0,0,0,0,14,12,11,26,6,0,0,0,0,0,0,0,11,10,14,1616308363795,blue,NA1_3835034991
347,24789,274,57,25507,27188,302,88,29980,21,2,0,1,0,0,0,0,0,12,14,11,23,3,0,0,1,0,2,1,0,11,9,12,1615611328612,blue,NA1_3823118433
